term_str,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19
aghast,0.050000001711934534,0.05000000038557092,0.05000000021587212,0.05,0.05,0.05,0.05,0.05223793897486297,0.05,0.05,0.05000031890584876,0.05,0.05000000034546794,0.05,7.116666069187716,0.05000000010887845,0.05,0.05000000033915695,0.05000000004288675,3.981095669760214
agony,1.0827067705822715,1.0141902929464202,0.05000000016626414,0.05,0.05,1.4437903293969643,0.05,0.05010005952004911,1.5403916652802094,0.050000001004138026,2.7978270367006575,0.05,1.5813706001584984,0.05,3.714246722028641,0.05000000007684694,0.05000000010152619,0.05000000009457276,0.05000000002050697,8.225376521890936
agreement,0.050000000121001316,0.05003641801762086,0.05,0.05,1.0500000000468552,0.05,0.05,0.07985994364574367,0.05,2.650999618615024,1.7347736161998553,0.05,0.050000000037143486,2.1619062680254775,4.622424134292839,0.0500000003889584,0.05000000035543469,0.05,0.05,0.0500000002327456
ah,0.05000000002596268,0.050005946582502014,0.05,0.05,1.050000000081254,0.6522404622929258,0.05,6.619654644625089,0.05000000053250881,0.05000000208806415,0.05000000023718704,0.05,0.05000000036012453,2.210789333712764,5.6656250013544245,0.05,2.0047958496831044,0.292372163265861,0.05,1.9045165951236191
aid,0.05,0.05,0.05,0.05,0.05,0.05000000173295027,0.05,1.0392597584254515,0.050000001216362853,0.05000000039261277,0.3587482965152869,0.05,3.0152904883084113,0.05,4.623798436038011,0.05000000017503682,0.05000000031752424,1.0500000000455472,1.0500000000688383,3.2129030167304817
aim,0.05,0.050000000083430446,0.05,0.05,0.05,4.018408480638912,0.05,4.716284825838774,1.491425451190269,0.05000000020579888,0.050000000144034294,0.05,0.05000000096649347,0.050000001100995214,2.224929194823144,0.050000000432002194,0.05000000067366936,0.5760192173497667,0.05,5.272932826520398
aims,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.8022713684411522,0.05,0.05,0.05,0.05,0.05,0.05,5.079870596384569,0.05,0.05000000042068937,0.05,0.05,1.2678580347282937
air,2.8728533055352234,35.893417465406436,4.078293075758786,4.01296438969033,8.118311967770522,15.559315100232917,0.05,61.506062453345976,11.463193991446582,31.176689776122846,36.37105269441006,0.05,42.422883676857886,25.31658859181869,110.2940404108833,2.2879741162319545,15.904155609597012,13.415991061514978,8.320759297216949,111.88545301612406
air face,0.05,1.2912206913400823,0.05,0.05,1.0500000000694512,0.050000007869814324,0.05,0.05000000043176082,1.050000000074238,0.050000001601425766,3.945555086284041,0.05,0.050000004523743154,0.05,0.050000001087157804,0.050000000832243444,0.05,0.05000000027878663,0.05,3.913224205567963
aisle,0.05,2.495687862659657,0.05,0.05,0.05,0.05000000747687985,0.05,1.591656549749233,0.05000000030059299,0.05,0.05000000093165734,0.05,4.5454264144083165,4.050000000149315,2.5590226651314865,0.05000000081519951,0.05,0.05000000004309974,0.05,0.058206498303289306
ajar,0.05,0.05000000080530526,0.05,0.05,0.050000001462245966,1.0500000000392717,0.05,2.2467388338127825,0.05,2.1596165603749182,0.8005475442603434,0.05,0.30368636122840326,0.05,2.159229179618591,0.05000000009944666,2.3254014578432094,0.05,0.050000000048856665,2.354780060364262
alarm,0.06647702240173958,0.05000000031571459,0.05,0.05,1.0500000000844023,1.8185570143172525,0.05,11.001913253890823,0.05000000038242244,0.07359673603468767,3.4408494433410435,0.05,1.1294058156837876,0.05,9.164258611056319,0.050000000214117254,3.1882843632064004,1.6271026609107506,1.0500000000668182,3.9895550780572573
alarm clock,0.05,0.05,0.05,0.05,1.050000000066977,0.05,0.05,2.437197813057892,0.05,0.05,2.3931836116350924,0.05,0.05,0.05,0.05000000012713239,0.05,0.05,0.05,0.05,2.3196185750894625
allegiance,0.05,0.05,1.0495098338676703,0.05,0.05,1.1546634056506266,0.05,0.05000000021066702,0.05,0.05,0.05582468771074507,0.05,1.4428190740990579,0.05,0.05000000002707002,0.05,0.05,0.05,0.05,4.547182998419277
alley,0.05,0.05000000027448078,0.05,0.05,0.05,0.05000000124044578,0.05,0.24495780526947453,0.05,0.05,0.05000000004238856,0.05,4.592653403827488,2.0500000000831453,0.10051552641046277,0.05,0.05,0.050000000044473636,0.05,5.261873262774033
alleyway,0.05,0.05,0.05,0.05,0.05,0.050000000032755024,0.05,0.05401188582501114,0.05,0.05,0.050000000142551085,0.05,0.05000001119408576,6.050000000123717,0.050000000112865206,0.05,0.05,0.05,0.05,17.04598810255381
aloud,1.2769418690797412,1.920640881761151,2.041308903785031,0.05,0.050000000091307936,0.050004695349819224,0.05,5.839976362725678,0.05000000006537297,1.1981606618616836,3.796120796502939,0.05,0.9883208011288016,0.9577569954787709,8.007076607503736,0.05000000053487538,1.7170478431075,0.05000000040260869,0.05000000002386612,3.806643580556854
alternative,0.05,0.05,0.05,0.05,0.05,0.05,0.05,1.399432290457964,0.05,0.05,0.050000001336909024,0.05,0.050000000378414164,1.0500000000313363,4.329909031700703,0.05,0.05000000195436014,0.050016620139726915,1.0318388087932917,1.4388032451743962
amazement,0.05000000034230685,2.7190157709118563,0.05,0.05,1.2394273887561502,2.028090541180799,0.05,4.974638220953393,0.05000000129015775,0.05000654363707908,2.5560882536310663,0.05,0.050000000434704484,0.050000001057284915,8.024895874985152,0.050000001464133983,2.025942282840845,1.0636572042340364,0.05,4.8182379142443095
ambition,1.074929954212951,0.05000000017237323,0.05000000334512962,0.05,0.05,0.05000000072200004,0.05,11.168640554966343,0.05,0.0500000007932146,1.372798123115962,0.05,0.6702203448672527,0.05,4.860255925319439,0.05,0.05000000014780487,0.05000000012893622,0.05,2.1531550921757123
amounts,0.050000000243139,0.054726265890909634,0.05,0.05,0.05,0.05,0.05,2.376635816589265,0.05,0.05,0.05,0.05,1.165780256557679,1.0500000000239413,5.6028576600886,0.05000000011012366,0.05000000025644577,0.05,1.0500000000771958,0.0500000001342759
amusement,1.1079754803411195,0.05,0.05,0.05,0.050000046573264886,0.05,0.05,4.8297529754737605,0.050000000000568694,0.05,1.10165252391236,0.05,0.05000000319240362,0.05,1.2353600195246404,0.05,0.050000012076047935,0.05,0.05,3.975258938858908
