term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
skin,0.01516628968909469,-0.007571632407725982,0.028249263868031553,-0.01786234050893897,0.014467811825156185,-0.005211662638305516,0.014167041024366686,0.005729371739039658,-0.006371368565984388,0.011767627685370513
pass,-0.01311360565441555,0.007175949055717295,0.0013359592736606892,-0.010171815719696935,0.009581998122714099,0.003862299795485038,-0.004841405320894092,-0.008817929832907115,0.012899085964436674,0.0015506868972693924
excellent,-0.01225975061192082,0.04446180905790274,-0.007146005366521304,0.004685328301441066,0.025308350585630048,-0.010368018672951975,0.0202348053351459,0.011389225164887634,0.015009085461413565,0.004215622555948354
lessons,-0.029365189825148536,0.052396465616533244,-0.005419682509344603,-0.05308539224327576,0.0394615219726341,-0.042605356624763495,0.005745726837688111,-0.00837463774385866,-0.002538930169293596,0.004087776415419237
earth,-0.008272595698214284,-0.004589538993609099,-0.0022000286864696647,0.0059840128358593,0.007160420321768449,-0.02144593065451411,0.009616066960822327,0.0043629698137671626,-0.018713309796422585,-0.011030280775377405
note,-0.026018843058152708,0.027085657375501594,-0.0219100995616052,-0.027225354067960266,-0.00423273095017831,-0.032971279344136635,0.030380072399168075,0.012649680639022018,0.009837768046312768,-0.019596452118771004
afternoon,-0.03585596348521793,0.03147252899799755,-0.011084441130602156,-0.026071928683288097,0.016732987478210386,-0.03031732865796881,0.03263999888593968,-0.007397530643745134,-0.008170513807860165,-0.0028916290405705328
seems,0.011104207296912435,0.008292992072462575,-0.012463715612020037,-0.03808368971128121,-0.00970845431397892,-0.009514494536786782,-0.035720744367366025,0.000600389058941604,0.03418520327501189,0.024137375192342922
waved,0.009133386484954124,0.006530553001699735,-0.0074200950212465235,0.01247780630337948,0.01862325895721029,0.023745315375599766,0.00266566134789629,-0.026252420708618506,0.00199437319773284,0.006582854435023424
sir,0.009758662511275046,0.2802582200829633,0.18049045465965002,-0.3986451397416954,-0.43629827396739274,0.4560288219346814,0.09493625261271997,0.14644059289674982,-0.09289662957115463,-0.13650112031693762
check,0.0055723112724786195,-0.004210557037682524,-0.00020761426774493653,0.004857556509652914,0.014094441081155559,-0.015174835732614632,-0.004736541564326431,-0.021001912798867515,-0.023245352842114514,0.021939739378011382
beaming,-0.009594953507035918,0.014994362634510648,-0.020299075295731307,-0.018289781612709635,0.0024447687891321493,0.006766894538829162,-0.003622376851077278,-0.02125146136437021,-0.00011366532098603093,-0.005590645250107822
visit,-0.012298626774541674,0.0007669715075170502,-0.02719071398178352,-0.025838827257187117,-0.019362229772579526,-0.009008697895436272,-0.0037178373807572078,-0.007857197232146576,0.011457308694319993,-0.006839812296618532
